Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
084C1,WO,0,0,0,0,0,0,0,0,0
084C2,WO,0,0,0,0,0,0,0,0,0
084D0,WO,0,0,0,0,0,0,0,0,0
084E1,WO,0,0,0,0,0,0,0,0,0
084E2,WO,0,0,0,0,0,0,0,0,0
084E3,WO,0,0,0,0,0,0,0,0,0
084F1,WO,0,0,0,0,0,0,0,0,0
084F2,WO,0,0,0,0,0,0,0,0,0
08431,NG,0,0,0,0,0,0,0,0,0
08432,NG,0,0,0,0,0,0,0,0,0
08433,NG,0,0,0,0,0,0,0,0,0
085A0,WO,0,0,0,0,0,0,0,0,0
085B1,WO,0,0,0,0,0,0,0,0,0
085B2,WO,0,0,0,0,0,0,0,0,0
085C0,WO,0,0,0,0,0,0,0,0,0
085D1,WO,0,0,0,0,0,0,0,0,0
085D2,WO,0,0,0,0,0,0,0,0,0
